epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,6971.12,0.41034,0.30549,0.9159,0.99728,1,0.995,0.94274,0.37922,0.21635,0.7564,0.000478762,0.000478762,0.000478762
74,7065.6,0.41838,0.29483,0.91336,0.99764,1,0.995,0.9511,0.35817,0.21282,0.74202,0.000462259,0.000462259,0.000462259
75,7160.03,0.3993,0.28812,0.91505,0.99859,1,0.995,0.94645,0.36666,0.21407,0.73763,0.000445756,0.000445756,0.000445756
76,7255.48,0.4144,0.28587,0.92495,0.99781,1,0.995,0.94683,0.36664,0.21075,0.74429,0.000429253,0.000429253,0.000429253
77,7350.82,0.39611,0.27118,0.91041,0.99795,1,0.995,0.95373,0.35749,0.2109,0.73496,0.000412749,0.000412749,0.000412749
78,7446.39,0.41226,0.27549,0.9235,0.99763,1,0.995,0.9539,0.35608,0.2057,0.73534,0.000396246,0.000396246,0.000396246
79,7540.87,0.41153,0.27329,0.91653,0.99778,1,0.995,0.95561,0.34795,0.20916,0.73441,0.000379743,0.000379743,0.000379743
80,7635.73,0.39635,0.27226,0.90341,0.99861,1,0.995,0.95454,0.34555,0.20826,0.7358,0.000363239,0.000363239,0.000363239
81,7729.9,0.37928,0.26205,0.91101,0.99849,1,0.995,0.95445,0.35353,0.20356,0.74192,0.000346736,0.000346736,0.000346736
82,7824.2,0.38007,0.26392,0.90105,0.99873,1,0.995,0.94888,0.35199,0.20521,0.7443,0.000330233,0.000330233,0.000330233
83,7918.77,0.39287,0.26011,0.90854,0.99759,1,0.995,0.95317,0.32794,0.19868,0.73176,0.000313729,0.000313729,0.000313729
84,8013.16,0.39732,0.27652,0.91481,0.99612,1,0.995,0.95126,0.34239,0.20318,0.73816,0.000297226,0.000297226,0.000297226
85,8107.49,0.39137,0.26091,0.90884,0.98828,1,0.995,0.9532,0.34077,0.20098,0.74083,0.000280723,0.000280723,0.000280723
86,8203.96,0.38135,0.26853,0.91779,0.99763,1,0.995,0.95086,0.3361,0.19936,0.73871,0.00026422,0.00026422,0.00026422
87,8298.88,0.37018,0.25645,0.89748,0.98371,1,0.995,0.94928,0.33256,0.20525,0.73476,0.000247716,0.000247716,0.000247716
88,8393.69,0.3789,0.2564,0.91184,0.98106,1,0.995,0.95353,0.32808,0.20403,0.731,0.000231213,0.000231213,0.000231213
89,8488.36,0.36357,0.25403,0.91462,0.99653,1,0.995,0.95471,0.33514,0.20184,0.735,0.00021471,0.00021471,0.00021471
90,8582.64,0.3723,0.25361,0.91329,0.99842,1,0.995,0.95543,0.33353,0.19035,0.73262,0.000198206,0.000198206,0.000198206
91,8677.62,0.35967,0.23111,0.85994,0.99821,1,0.995,0.95237,0.32823,0.19492,0.73038,0.000181703,0.000181703,0.000181703
92,8771.35,0.34521,0.21698,0.84786,0.99837,1,0.995,0.95384,0.32266,0.19201,0.72775,0.0001652,0.0001652,0.0001652
93,8864.5,0.34444,0.20836,0.85876,0.99837,1,0.995,0.95208,0.33091,0.18986,0.73625,0.000148696,0.000148696,0.000148696
94,8958.51,0.34515,0.2078,0.8518,0.98663,1,0.995,0.9529,0.32479,0.19972,0.72919,0.000132193,0.000132193,0.000132193
95,9052.72,0.33996,0.21117,0.85291,0.97988,1,0.99463,0.95425,0.32282,0.20569,0.72687,0.00011569,0.00011569,0.00011569
96,9146.63,0.33706,0.2033,0.84201,0.98596,1,0.995,0.95645,0.31485,0.20194,0.72561,9.91865e-05,9.91865e-05,9.91865e-05
97,9240.83,0.32033,0.19649,0.84352,0.99878,1,0.995,0.96015,0.31325,0.1838,0.72568,8.26832e-05,8.26832e-05,8.26832e-05
98,9334.48,0.32841,0.20287,0.84548,0.99886,1,0.995,0.95826,0.31086,0.17387,0.72468,6.61799e-05,6.61799e-05,6.61799e-05
99,9427.85,0.32604,0.19615,0.84791,0.99884,1,0.995,0.95707,0.31115,0.17589,0.72669,4.96766e-05,4.96766e-05,4.96766e-05
100,9521.08,0.3155,0.19214,0.84503,0.99871,1,0.995,0.96119,0.31291,0.17747,0.72717,3.31733e-05,3.31733e-05,3.31733e-05
